,Authentication,Unobservability,Confidentiality,Awareness,Authorization,Integrity,Identification,Anonymity,Policy,Unlinkability,Availability,Non-repudiation,Deniability, ,Experiment with Human participants,Qualitative Survey (Interviews),Questionnaire Surveys,Benchmarking,Data Science,Meta Science,Engineering Research, ,VW,AR,LL,MW, ,VR,AR,MR,XR, ,AP,UE,UWP,UP
Application,2.0,0.0,3.0,2.0,3.0,3.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,,8.0,2.0,3.0,7.0,1.0,0.0,0.0,,6.0,7.0,4.0,4.0,,8.0,9.0,3.0,1.0,,12.0,6.0,1.0,2.0
Evaluation,5.0,4.0,4.0,7.0,2.0,1.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,,13.0,6.0,4.0,3.0,3.0,0.0,1.0,,12.0,8.0,7.0,3.0,,17.0,9.0,2.0,2.0,,7.0,11.0,8.0,4.0
Model,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,2.0,,1.0,3.0,0.0,0.0,,0.0,2.0,0.0,2.0
System,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,1.0,,1.0,3.0,0.0,0.0,,1.0,2.0,1.0,0.0
Technique,7.0,6.0,2.0,0.0,1.0,2.0,2.0,5.0,0.0,1.0,1.0,0.0,1.0,,10.0,7.0,7.0,0.0,2.0,2.0,0.0,,10.0,9.0,8.0,1.0,,10.0,11.0,4.0,3.0,,17.0,6.0,4.0,1.0
Total,15.0,11.0,10.0,9.0,8.0,7.0,7.0,6.0,4.0,4.0,2.0,2.0,2.0,,35.0,17.0,16.0,10.0,6.0,2.0,1.0,,32.0,24.0,20.0,11.0,,37.0,35.0,9.0,6.0,,37.0,27.0,14.0,9.0
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
