Year,Strategy,,,,,,,,,,,,
2023,Benchmarking,,,,,,,,,,,,
2022,Benchmarking,,,,,,,,,,,,
2022,Engineering Research,,,,,,,,,,,,
2014,Benchmarking,,,,,,,,,,,,
2023,Benchmarking,,,,,,,,,,,,
2023,Experiment with Human participants,,,,,,,,,,,,
2023,Benchmarking,,,,,,,,,,,,
2023,Data Science,,,,,,,,,,,,
2023,Experiment with Human participants,,,,,,,,,,,,
2023,Benchmarking,,,,,,,,,,,,
2023,Data Science,,,,,,,,,,,,
2023,Experiment with Human participants,,,,,,,,,,,,
2023,Benchmarking,,,,,,,,,,,,
2023,Experiment with Human participants,,,,,,,,,,,,
2023,Questionnaire Surveys,,,,,,,,,,,,
2023,Benchmarking,,,,,,,,,,,,
2023,Data Science,,,,,,,,,,,,
2023,Benchmarking,,,,,,,,,,,,
2023,Data Science,,,,,,,,,,,,
2023,Benchmarking,,,,,,,,,,,,
2023,Data Science,,,,,,,,,,,,
2023,Benchmarking,,,,,,,,,,,,
2023,Benchmarking,,,,,,,,,,,,
2023,Benchmarking,,,,,,,,,,,,
2023,Data Science,,,,,,,,,,,,
2022,Benchmarking,,,,,,,,,,,,
2022,Data Science,,,,,,,,,,,,
2022,Benchmarking,,,,,,,,,,,,
2022,Experiment with Human participants,,,,,,,,,,,,
2022,Questionnaire Surveys,,,,,,,,,,,,
2022,Benchmarking,,,,,,,,,,,,
2022,Benchmarking,,,,,,,,,,,,
2022,Benchmarking,,,,,,,,,,,,
2022,Data Science,,,,,,,,,,,,
2021,Benchmarking,,,,,,,,,,,,
2021,Experiment with Human participants,,,,,,,,,,,,
2021,Qualitative Survey (Interviews),,,,,,,,,,,,
2021,Benchmarking,,,,,,,,,,,,
2021,Data Science,,,,,,,,,,,,
2021,Benchmarking,,,,,,,,,,,,
2021,Benchmarking,,,,,,,,,,,,
2021,Data Science,,,,,,,,,,,,
2021,Benchmarking,,,,,,,,,,,,
2021,Benchmarking,,,,,,,,,,,,
2021,Experiment with Human participants,,,,,,,,,,,,
2021,Questionnaire Surveys,,,,,,,,,,,,
2021,Benchmarking,,,,,,,,,,,,
2021,Data Science,,,,,,,,,,,,
2020,Benchmarking,,,,,,,,,,,,
2020,Experiment with Human participants,,,,,,,,,,,,
2020,Qualitative Survey (Interviews),,,,,,,,,,,,
2020,Benchmarking,,,,,,,,,,,,
2020,Experiment with Human participants,,,,,,,,,,,,
2019,Benchmarking,,,,,,,,,,,,
2018,Benchmarking,,,,,,,,,,,,
2018,Data Science,,,,,,,,,,,,
2016,Benchmarking,,,,,,,,,,,,
2015,Benchmarking,,,,,,,,,,,,
